tx	gene
CPAR2_100030	CPAR2_100030
CPAR2_100040	CPAR2_100040
CPAR2_100050	CPAR2_100050
CPAR2_100060	CPAR2_100060
CPAR2_100070	CPAR2_100070
CPAR2_100080	CPAR2_100080
CPAR2_100090	CPAR2_100090
CPAR2_100100	CPAR2_100100
CPAR2_100120	CPAR2_100120
CPAR2_100130	CPAR2_100130
CPAR2_100140	CPAR2_100140
CPAR2_100150	CPAR2_100150
CPAR2_100160	CPAR2_100160
CPAR2_100170	CPAR2_100170
CPAR2_100180	CPAR2_100180
CPAR2_100190	CPAR2_100190
CPAR2_100200	CPAR2_100200
CPAR2_100210	CPAR2_100210
CPAR2_100220	CPAR2_100220
CPAR2_100230	CPAR2_100230
CPAR2_100240	CPAR2_100240
CPAR2_100250	CPAR2_100250
CPAR2_100260	CPAR2_100260
CPAR2_100280	CPAR2_100280
CPAR2_100290	CPAR2_100290
CPAR2_100300	CPAR2_100300
CPAR2_100320	CPAR2_100320
CPAR2_100330	CPAR2_100330
CPAR2_100340	CPAR2_100340
CPAR2_100350	CPAR2_100350
CPAR2_100360	CPAR2_100360
CPAR2_100370	CPAR2_100370
CPAR2_100380	CPAR2_100380
CPAR2_100410	CPAR2_100410
CPAR2_100420	CPAR2_100420
CPAR2_100430	CPAR2_100430
CPAR2_100440	CPAR2_100440
CPAR2_100450	CPAR2_100450
CPAR2_100460	CPAR2_100460
CPAR2_100490	CPAR2_100490
CPAR2_100500	CPAR2_100500
CPAR2_100510	CPAR2_100510
CPAR2_100520	CPAR2_100520
CPAR2_100530	CPAR2_100530
CPAR2_100540	CPAR2_100540
CPAR2_100565	CPAR2_100565
CPAR2_100580	CPAR2_100580
CPAR2_100590	CPAR2_100590
CPAR2_100600	CPAR2_100600
CPAR2_100610	CPAR2_100610
CPAR2_100620	CPAR2_100620
CPAR2_100630	CPAR2_100630
CPAR2_100650	CPAR2_100650
CPAR2_100660	CPAR2_100660
CPAR2_100670	CPAR2_100670
CPAR2_100680	CPAR2_100680
CPAR2_100690	CPAR2_100690
CPAR2_100700	CPAR2_100700
CPAR2_100710	CPAR2_100710
CPAR2_100720	CPAR2_100720
CPAR2_100730	CPAR2_100730
CPAR2_100740	CPAR2_100740
CPAR2_100760	CPAR2_100760
CPAR2_100790	CPAR2_100790
CPAR2_100800	CPAR2_100800
CPAR2_100810	CPAR2_100810
CPAR2_100820	CPAR2_100820
CPAR2_100830	CPAR2_100830
CPAR2_100850	CPAR2_100850
CPAR2_100870	CPAR2_100870
CPAR2_100880	CPAR2_100880
CPAR2_100890	CPAR2_100890
CPAR2_100900	CPAR2_100900
CPAR2_100910	CPAR2_100910
CPAR2_100920	CPAR2_100920
CPAR2_100960	CPAR2_100960
CPAR2_100970	CPAR2_100970
CPAR2_100980	CPAR2_100980
CPAR2_100990	CPAR2_100990
CPAR2_101000	CPAR2_101000
CPAR2_101010	CPAR2_101010
CPAR2_101020	CPAR2_101020
CPAR2_101030	CPAR2_101030
CPAR2_101040	CPAR2_101040
CPAR2_101050	CPAR2_101050
CPAR2_101060	CPAR2_101060
CPAR2_101070	CPAR2_101070
CPAR2_101080	CPAR2_101080
CPAR2_101090	CPAR2_101090
CPAR2_101100	CPAR2_101100
CPAR2_101110	CPAR2_101110
CPAR2_101120	CPAR2_101120
CPAR2_101130	CPAR2_101130
CPAR2_101140	CPAR2_101140
CPAR2_101150	CPAR2_101150
CPAR2_101180	CPAR2_101180
CPAR2_101190	CPAR2_101190
CPAR2_101200	CPAR2_101200
CPAR2_101220	CPAR2_101220
CPAR2_101240	CPAR2_101240
CPAR2_101250	CPAR2_101250
CPAR2_101260	CPAR2_101260
CPAR2_101270	CPAR2_101270
CPAR2_101280	CPAR2_101280
CPAR2_101290	CPAR2_101290
CPAR2_101300	CPAR2_101300
CPAR2_101310	CPAR2_101310
CPAR2_101320	CPAR2_101320
CPAR2_101340	CPAR2_101340
CPAR2_101360	CPAR2_101360
CPAR2_101370	CPAR2_101370
CPAR2_101380	CPAR2_101380
CPAR2_101390	CPAR2_101390
CPAR2_101400	CPAR2_101400
CPAR2_101410	CPAR2_101410
CPAR2_101420	CPAR2_101420
CPAR2_101430	CPAR2_101430
CPAR2_101440	CPAR2_101440
CPAR2_101450	CPAR2_101450
CPAR2_101460	CPAR2_101460
CPAR2_101470	CPAR2_101470
CPAR2_101480	CPAR2_101480
CPAR2_101490	CPAR2_101490
CPAR2_101500	CPAR2_101500
CPAR2_101510	CPAR2_101510
CPAR2_101520	CPAR2_101520
CPAR2_101530	CPAR2_101530
CPAR2_101550	CPAR2_101550
CPAR2_101560	CPAR2_101560
CPAR2_101570	CPAR2_101570
CPAR2_101580	CPAR2_101580
CPAR2_101590	CPAR2_101590
CPAR2_101610	CPAR2_101610
CPAR2_101620	CPAR2_101620
CPAR2_101650	CPAR2_101650
CPAR2_101660	CPAR2_101660
CPAR2_101670	CPAR2_101670
CPAR2_101680	CPAR2_101680
CPAR2_101690	CPAR2_101690
CPAR2_101700	CPAR2_101700
CPAR2_101710	CPAR2_101710
CPAR2_101720	CPAR2_101720
CPAR2_101730	CPAR2_101730
CPAR2_101740	CPAR2_101740
CPAR2_101760	CPAR2_101760
CPAR2_101770	CPAR2_101770
CPAR2_101790	CPAR2_101790
CPAR2_101800	CPAR2_101800
CPAR2_101810	CPAR2_101810
CPAR2_101830	CPAR2_101830
CPAR2_101850	CPAR2_101850
CPAR2_101860	CPAR2_101860
CPAR2_101880	CPAR2_101880
CPAR2_101900	CPAR2_101900
CPAR2_101910	CPAR2_101910
CPAR2_101920	CPAR2_101920
CPAR2_101930	CPAR2_101930
CPAR2_101940	CPAR2_101940
CPAR2_101950	CPAR2_101950
CPAR2_101960	CPAR2_101960
CPAR2_101970	CPAR2_101970
CPAR2_101980	CPAR2_101980
CPAR2_101990	CPAR2_101990
CPAR2_102000	CPAR2_102000
CPAR2_102030	CPAR2_102030
CPAR2_102040	CPAR2_102040
CPAR2_102050	CPAR2_102050
CPAR2_102060	CPAR2_102060
CPAR2_102070	CPAR2_102070
CPAR2_102080	CPAR2_102080
CPAR2_102090	CPAR2_102090
CPAR2_102110	CPAR2_102110
CPAR2_102140	CPAR2_102140
CPAR2_102160	CPAR2_102160
CPAR2_102180	CPAR2_102180
CPAR2_102190	CPAR2_102190
CPAR2_102200	CPAR2_102200
CPAR2_102210	CPAR2_102210
CPAR2_102220	CPAR2_102220
CPAR2_102230	CPAR2_102230
CPAR2_102240	CPAR2_102240
CPAR2_102250	CPAR2_102250
CPAR2_102260	CPAR2_102260
CPAR2_102270	CPAR2_102270
CPAR2_102280	CPAR2_102280
CPAR2_102290	CPAR2_102290
CPAR2_102300	CPAR2_102300
CPAR2_102310	CPAR2_102310
CPAR2_102320	CPAR2_102320
CPAR2_102330	CPAR2_102330
CPAR2_102350	CPAR2_102350
CPAR2_102360	CPAR2_102360
CPAR2_102390	CPAR2_102390
CPAR2_102410	CPAR2_102410
CPAR2_102450	CPAR2_102450
CPAR2_102460	CPAR2_102460
CPAR2_102470	CPAR2_102470
CPAR2_102480	CPAR2_102480
CPAR2_102500	CPAR2_102500
CPAR2_102530	CPAR2_102530
CPAR2_102540	CPAR2_102540
CPAR2_102550	CPAR2_102550
CPAR2_102560	CPAR2_102560
CPAR2_102610	CPAR2_102610
CPAR2_102620	CPAR2_102620
CPAR2_102630	CPAR2_102630
CPAR2_102650	CPAR2_102650
CPAR2_102660	CPAR2_102660
CPAR2_102670	CPAR2_102670
CPAR2_102680	CPAR2_102680
CPAR2_102690	CPAR2_102690
CPAR2_102700	CPAR2_102700
CPAR2_102710	CPAR2_102710
CPAR2_102720	CPAR2_102720
CPAR2_102730	CPAR2_102730
CPAR2_102740	CPAR2_102740
CPAR2_102750	CPAR2_102750
CPAR2_102760	CPAR2_102760
CPAR2_102770	CPAR2_102770
CPAR2_102780	CPAR2_102780
CPAR2_102790	CPAR2_102790
CPAR2_102800	CPAR2_102800
CPAR2_102810	CPAR2_102810
CPAR2_102820	CPAR2_102820
CPAR2_102830	CPAR2_102830
CPAR2_102840	CPAR2_102840
CPAR2_102850	CPAR2_102850
CPAR2_102860	CPAR2_102860
CPAR2_102870	CPAR2_102870
CPAR2_102880	CPAR2_102880
CPAR2_102890	CPAR2_102890
CPAR2_102900	CPAR2_102900
CPAR2_102910	CPAR2_102910
CPAR2_102930	CPAR2_102930
CPAR2_102940	CPAR2_102940
CPAR2_102950	CPAR2_102950
CPAR2_102960	CPAR2_102960
CPAR2_102970	CPAR2_102970
CPAR2_102980	CPAR2_102980
CPAR2_102990	CPAR2_102990
CPAR2_103000	CPAR2_103000
CPAR2_103010	CPAR2_103010
CPAR2_103020	CPAR2_103020
CPAR2_103030	CPAR2_103030
CPAR2_103050	CPAR2_103050
CPAR2_103060	CPAR2_103060
CPAR2_103070	CPAR2_103070
CPAR2_103080	CPAR2_103080
CPAR2_103090	CPAR2_103090
CPAR2_103120	CPAR2_103120
CPAR2_103130	CPAR2_103130
CPAR2_103190	CPAR2_103190
CPAR2_103210	CPAR2_103210
CPAR2_103220	CPAR2_103220
CPAR2_103230	CPAR2_103230
CPAR2_103240	CPAR2_103240
CPAR2_103250	CPAR2_103250
CPAR2_103260	CPAR2_103260
CPAR2_103270	CPAR2_103270
CPAR2_103280	CPAR2_103280
CPAR2_103290	CPAR2_103290
CPAR2_103310	CPAR2_103310
CPAR2_103350	CPAR2_103350
CPAR2_103360	CPAR2_103360
CPAR2_103370	CPAR2_103370
CPAR2_103380	CPAR2_103380
CPAR2_103390	CPAR2_103390
CPAR2_103400	CPAR2_103400
CPAR2_103410	CPAR2_103410
CPAR2_103420	CPAR2_103420
CPAR2_103430	CPAR2_103430
CPAR2_103440	CPAR2_103440
CPAR2_103450	CPAR2_103450
CPAR2_103460	CPAR2_103460
CPAR2_103470	CPAR2_103470
CPAR2_103480	CPAR2_103480
CPAR2_103490	CPAR2_103490
CPAR2_103500	CPAR2_103500
CPAR2_103510	CPAR2_103510
CPAR2_103520	CPAR2_103520
CPAR2_103540	CPAR2_103540
CPAR2_103550	CPAR2_103550
CPAR2_103560	CPAR2_103560
CPAR2_103570	CPAR2_103570
CPAR2_103580	CPAR2_103580
CPAR2_103600	CPAR2_103600
CPAR2_103610	CPAR2_103610
CPAR2_103620	CPAR2_103620
CPAR2_103630	CPAR2_103630
CPAR2_103640	CPAR2_103640
CPAR2_103650	CPAR2_103650
CPAR2_103660	CPAR2_103660
CPAR2_103670	CPAR2_103670
CPAR2_103690	CPAR2_103690
CPAR2_103700	CPAR2_103700
CPAR2_103710	CPAR2_103710
CPAR2_103720	CPAR2_103720
CPAR2_103730	CPAR2_103730
CPAR2_103740	CPAR2_103740
CPAR2_103750	CPAR2_103750
CPAR2_103760	CPAR2_103760
CPAR2_103770	CPAR2_103770
CPAR2_103780	CPAR2_103780
CPAR2_103790	CPAR2_103790
CPAR2_103810	CPAR2_103810
CPAR2_103820	CPAR2_103820
CPAR2_103830	CPAR2_103830
CPAR2_103840	CPAR2_103840
CPAR2_103850	CPAR2_103850
CPAR2_103860	CPAR2_103860
CPAR2_103870	CPAR2_103870
CPAR2_103890	CPAR2_103890
CPAR2_103900	CPAR2_103900
CPAR2_103910	CPAR2_103910
CPAR2_103930	CPAR2_103930
CPAR2_103940	CPAR2_103940
CPAR2_103950	CPAR2_103950
CPAR2_103960	CPAR2_103960
CPAR2_103970	CPAR2_103970
CPAR2_103980	CPAR2_103980
CPAR2_103990	CPAR2_103990
CPAR2_104000	CPAR2_104000
CPAR2_104010	CPAR2_104010
CPAR2_104020	CPAR2_104020
CPAR2_104030	CPAR2_104030
CPAR2_104040	CPAR2_104040
CPAR2_104050	CPAR2_104050
CPAR2_104060	CPAR2_104060
CPAR2_104070	CPAR2_104070
CPAR2_104080	CPAR2_104080
CPAR2_104090	CPAR2_104090
CPAR2_104100	CPAR2_104100
CPAR2_104110	CPAR2_104110
